Author,Latitude,Longitude,Biome,Ecosystem_type,Ecosystem_state,Rs_annual,Rh_annual,Rs_growingseason,Year,SPEI12,SPEI24,SPEI12_y1,SPEI24_y1,Tair,Tsoil_lev1,Tsoil_lev2,VWC_lev1,VWC_lev2,Precip,LAI_high,LAI_low,Soil_type_number,Soil_type_name,Veg_type_hi,Veg_type_low,MODIS_NPP,MODIS_GPP
Haynes,46.17,-89.67,Temperate,Forest,Managed,541,496,NA,1991,1.075,0.572,-0.316,0.002,5.07,7.64,7.53,0.25,0.249,34.74,4.86,0,1,Sand,18,0,NA,NA
Haynes,46.17,-89.67,Temperate,Forest,Managed,483,496,NA,1992,0.48,1.007,1.075,0.572,4.34,6.75,6.71,0.236,0.235,26.74,4.86,0,1,Sand,18,0,NA,NA
Haynes,46.17,-89.67,Temperate,Forest,Managed,505,496,NA,1993,0.225,0.503,0.48,1.007,3.78,6.9,6.89,0.247,0.248,30.38,4.86,0,1,Sand,18,0,NA,NA
Bowden,42.5,-72.15,Temperate,Forest,Natural,371,249,NA,1991,0.039,0.53,0.795,0.357,9.73,10.01,9.88,0.224,0.222,34.85,5.23,0,1,Sand,5,0,NA,NA
Swanson,53.99,-105.12,Boreal,Forest,Natural,NA,NA,0,1996,0.39,0.07,-0.47,-0.199,-1.18,4.14,4.1,0.241,0.235,20.21,3.34,1.86,1,Sand,3,1,NA,NA
Swanson,53.99,-105.12,Boreal,Forest,Natural,NA,NA,0,1996,0.39,0.07,-0.47,-0.199,-1.18,4.14,4.1,0.241,0.235,20.21,3.34,1.86,1,Sand,3,1,NA,NA
Buchmann,50.13,11.87,Temperate,Forest,Managed,710,500,0.73,1997,0.399,0.108,-0.213,0.729,6.98,7.34,7.28,0.374,0.375,28.23,3.06,0.79,3,Sandy loam,19,0,NA,NA
Buchmann,50.13,11.87,Temperate,Forest,Natural,NA,NA,0.79,1997,0.399,0.108,-0.213,0.729,6.98,7.34,7.28,0.374,0.375,28.23,3.06,0.79,3,Sandy loam,19,0,NA,NA
Buchmann,50.13,11.87,Temperate,Forest,Natural,NA,NA,0.93,1997,0.399,0.108,-0.213,0.729,6.98,7.34,7.28,0.374,0.375,28.23,3.06,0.79,3,Sandy loam,19,0,NA,NA
Buchmann,50.13,11.87,Temperate,Forest,Natural,NA,NA,0.7,1997,0.399,0.108,-0.213,0.729,6.98,7.34,7.28,0.374,0.375,28.23,3.06,0.79,3,Sandy loam,19,0,NA,NA
Andrews,36.07,-79.1,Temperate,Forest,Managed,956,667,NA,1997,0.925,1.359,1.052,0.933,14.63,15.04,15.04,0.43,0.435,35.6,4.42,0.07,4,Silt loam,18,0,NA,NA
Andrews,36.07,-79.1,Temperate,Forest,Managed,1067,NA,NA,1997,0.925,1.359,1.052,0.933,14.63,15.04,15.04,0.43,0.435,35.6,4.42,0.07,4,Silt loam,18,0,NA,NA
Andrews,36.07,-79.1,Temperate,Forest,Managed,928,NA,NA,1998,0.617,0.995,0.925,1.359,16.06,16.4,16.33,0.416,0.419,40.94,4.42,0.07,4,Silt loam,18,0,NA,NA
Arneth,-42.87,172.75,Temperate,Forest,Managed,370,NA,NA,1996,0.968,1.209,0.72,0.944,9.83,10.72,10.68,0.316,0.299,28.83,1.49,3.21,2,Loamy sand,2,2,NA,NA
Arneth,-42.87,172.75,Temperate,Forest,Managed,440,NA,NA,1997,0.49,1.055,0.968,1.209,9.59,10.44,10.4,0.323,0.314,30.19,1.49,3.21,2,Loamy sand,2,2,NA,NA
Epron,48.67,7.08,Temperate,Forest,Unmanaged,660,264,NA,1997,-0.61,-0.274,-1.274,0.583,9.57,9.73,9.6,0.35,0.346,33.91,2.58,3.23,2,Loamy sand,19,1,NA,NA
Epron,48.67,7.08,Temperate,Forest,Unmanaged,660,317,NA,1997,-0.61,-0.274,-1.274,0.583,9.57,9.73,9.6,0.35,0.346,33.91,2.58,3.23,2,Loamy sand,19,1,NA,NA
Trumbore,-2.98,-47.52,Tropical,Forest,Natural,2400,890,NA,1992,-1.667,-1.458,-0.54,-0.8,26.66,28.62,28.57,0.219,0.243,31.1,3.43,2.25,3,Sandy loam,19,17,NA,NA
Bolstad,35.08,-85.5,Temperate,Forest,Natural,1250,NA,NA,1997,-0.665,0.43,0.607,-0.847,14.38,14.35,14.35,0.351,0.353,50.15,4.58,0.6,2,Loamy sand,5,0,NA,NA
Bolstad,35.08,-85.5,Temperate,Forest,Natural,1240,NA,NA,1997,-0.665,0.43,0.607,-0.847,14.38,14.35,14.35,0.351,0.353,50.15,4.58,0.6,2,Loamy sand,5,0,NA,NA
Bolstad,35.08,-85.5,Temperate,Forest,Natural,1220,NA,NA,1997,-0.665,0.43,0.607,-0.847,14.38,14.35,14.35,0.351,0.353,50.15,4.58,0.6,2,Loamy sand,5,0,NA,NA
Bolstad,35.08,-85.5,Temperate,Forest,Natural,1320,NA,NA,1997,-0.665,0.43,0.607,-0.847,14.38,14.35,14.35,0.351,0.353,50.15,4.58,0.6,2,Loamy sand,5,0,NA,NA
Bolstad,35.08,-85.5,Temperate,Grassland,Managed,1000,NA,NA,1997,-0.665,0.43,0.607,-0.847,14.38,14.35,14.35,0.351,0.353,50.15,4.58,0.6,2,Loamy sand,5,0,NA,NA
Bolstad,35.08,-85.5,Temperate,Grassland,Managed,1170,NA,NA,1997,-0.665,0.43,0.607,-0.847,14.38,14.35,14.35,0.351,0.353,50.15,4.58,0.6,2,Loamy sand,5,0,NA,NA
Bolstad,35.08,-85.5,Temperate,Grassland,Managed,1030,NA,NA,1997,-0.665,0.43,0.607,-0.847,14.38,14.35,14.35,0.351,0.353,50.15,4.58,0.6,2,Loamy sand,5,0,NA,NA
Bolstad,35.08,-85.5,Temperate,Grassland,Managed,1180,NA,NA,1997,-0.665,0.43,0.607,-0.847,14.38,14.35,14.35,0.351,0.353,50.15,4.58,0.6,2,Loamy sand,5,0,NA,NA
Grunzweig,31.35,35.05,Mediterranean,Forest,Managed,192,NA,NA,2000,-0.602,-1.381,-1.6,-0.396,18.48,22.24,22.14,0.066,0.138,5.51,2.51,0.53,2,Loamy sand,19,11,NA,567.7
Widen,60.08,17.5,Boreal,Forest,Natural,98,69,NA,1999,0.796,1.086,0.677,-0.086,6.79,7.29,7.15,0.336,0.331,21.46,4.09,1.55,4,Silt loam,3,1,NA,NA
Widen,60.08,17.5,Boreal,Forest,Natural,149,100,NA,1999,0.796,1.086,0.677,-0.086,6.79,7.29,7.15,0.336,0.331,21.46,4.09,1.55,4,Silt loam,3,1,NA,NA
Irvine,44.43,-121.57,Temperate,Forest,Unmanaged,519,248,NA,1999,1.368,1.491,0.726,1.519,7.51,8.18,8.02,0.214,0.219,31.08,3.84,2.65,1,Sand,3,16,NA,NA
Irvine,44.5,-121.62,Temperate,Forest,Natural,499,276,NA,1999,1.368,1.491,0.726,1.519,7.26,7.83,7.68,0.189,0.186,31.1,3.65,2.39,1,Sand,3,10,NA,NA
Irvine,44.43,-121.57,Temperate,Forest,Unmanaged,427,248,NA,2000,0.098,1.129,1.368,1.491,7.2,8.2,8.06,0.207,0.206,25.25,3.84,2.65,1,Sand,3,16,NA,995.2
Irvine,44.5,-121.62,Temperate,Forest,Natural,597,322,NA,2000,0.098,1.129,1.368,1.491,6.95,7.8,7.65,0.182,0.174,24.97,3.65,2.39,1,Sand,3,10,NA,1199.3
Irvine,44.43,-121.57,Temperate,Forest,Unmanaged,505,248,NA,2001,-1.466,-0.947,0.098,1.129,7.66,8.83,8.65,0.211,0.213,26.34,3.84,2.65,1,Sand,3,16,647.8,1002.8
Irvine,44.5,-121.62,Temperate,Forest,Natural,483,276,NA,2001,-1.466,-0.947,0.098,1.129,7.36,8.48,8.31,0.185,0.179,26.29,3.65,2.39,1,Sand,3,10,760.7,1185
Law,44.42,-121.51,Temperate,Forest,Natural,683,406,NA,1996,1.616,1.639,0.731,0.057,8.08,9.77,9.53,0.176,0.184,37,4.51,2.43,1,Sand,3,16,NA,NA
Malhi,53.99,-105.12,Boreal,Forest,Natural,592,449,NA,1999,-0.346,-0.481,-0.537,0.15,2.09,5.12,4.98,0.232,0.229,18.21,3.34,1.86,1,Sand,3,1,NA,NA
Malhi,35.99,-84.29,Temperate,Forest,Natural,753,359,NA,1999,-0.731,-0.391,0.162,0.716,15.21,15.09,15.08,0.357,0.36,37.89,4.81,2.74,4,Silt loam,5,1,NA,NA
